
約定履歴照会

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2025年01月01日","2025年07月08日","8549","1","8549"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2025/01/14","アドバンテスト","6857","PTS（X）",信用新規売,"6ヶ月"," 特定 ","--",100,9454.1,--,--,"2025/01/16",--
"2025/01/14","アドバンテスト","6857","東証",信用新規売,"6ヶ月"," 特定 ","--",100,9453,--,--,"2025/01/16",--
"2025/01/14","アドバンテスト","6857","PTS（X）",信用新規売,"6ヶ月"," 特定 ","--",100,9456.1,--,--,"2025/01/16",--
"2025/01/14","アドバンテスト","6857","PTS（J）",信用新規売,"6ヶ月"," 特定 ","--",100,9453.1,--,--,"2025/01/16",--
"2025/01/14","アドバンテスト","6857","PTS（O）",信用新規売,"6ヶ月"," 特定 ","--",100,9454.3,--,--,"2025/01/16",--
"2025/01/14","アドバンテスト","6857","PTS（O）",信用新規売,"6ヶ月"," 特定 ","--",300,9455.1,--,--,"2025/01/16",--
"2025/01/14","アドバンテスト","6857","PTS（O）",信用新規売,"6ヶ月"," 特定 ","--",100,9455.2,--,--,"2025/01/16",--
"2025/01/14","セブン＆アイ・ホールディングス","3382","PTS（X）",信用返済売,"6ヶ月"," 特定 ","申告",200,2426.6,30,--,"2025/01/16",650
"2025/01/14","セブン＆アイ・ホールディングス","3382","PTS（X）",信用返済売,"6ヶ月"," 特定 ","申告",100,2426.7,15,--,"2025/01/16",335
"2025/01/14","セブン＆アイ・ホールディングス","3382","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,2424.5,15,--,"2025/01/16",-745
"2025/01/14","セブン＆アイ・ホールディングス","3382","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,2424.5,15,--,"2025/01/16",-745
"2025/01/14","セブン＆アイ・ホールディングス","3382","東証",信用返済売,"6ヶ月"," 特定 ","申告",400,2424.5,60,--,"2025/01/16",-3020
"2025/01/14","セブン＆アイ・ホールディングス","3382","東証",信用返済売,"6ヶ月"," 特定 ","申告",400,2425,60,--,"2025/01/16",-2820
"2025/01/14","リベルタ","4935","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,2061,13,--,"2025/01/16",-17123
"2025/01/14","リベルタ","4935","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,2061,13,--,"2025/01/16",-17123
"2025/01/14","リベルタ","4935","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,2063,13,--,"2025/01/16",-11913
"2025/01/14","リベルタ","4935","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,2064,13,--,"2025/01/16",-11813
"2025/01/14","ローツェ","6323","東証",信用返済売,"6ヶ月"," 特定 ","申告",200,1581,19,--,"2025/01/16",481
"2025/01/14","ローツェ","6323","東証",信用返済売,"6ヶ月"," 特定 ","申告",500,1581,49,--,"2025/01/16",451
"2025/01/14","ローツェ","6323","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,1581,9,--,"2025/01/16",251
"2025/01/14","アドバンテスト","6857","PTS（O）",信用返済売,"6ヶ月"," 特定 ","申告",100,9456.5,59,--,"2025/01/16",-11309
"2025/01/14","アドバンテスト","6857","PTS（X）",信用返済売,"6ヶ月"," 特定 ","申告",100,9456.4,59,--,"2025/01/16",-3689
"2025/01/14","アドバンテスト","6857","PTS（O）",信用返済売,"6ヶ月"," 特定 ","申告",100,9456.5,60,--,"2025/01/16",-20050
"2025/01/14","アドバンテスト","6857","PTS（X）",信用返済売,"6ヶ月"," 特定 ","申告",100,9456.1,59,--,"2025/01/16",-1049
"2025/01/14","アドバンテスト","6857","PTS（X）",信用返済売,"6ヶ月"," 特定 ","申告",100,9456.1,59,--,"2025/01/16",-1019
"2025/01/14","アドバンテスト","6857","PTS（X）",信用返済売,"6ヶ月"," 特定 ","申告",100,9456.2,59,--,"2025/01/16",-999
"2025/01/14","アドバンテスト","6857","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,9456,61,--,"2025/01/16",-34861
"2025/01/14","アドバンテスト","6857","PTS（X）",信用返済売,"6ヶ月"," 特定 ","申告",100,9456.1,59,--,"2025/01/16",-1039
"2025/01/14","アドバンテスト","6857","PTS（X）",信用返済売,"6ヶ月"," 特定 ","申告",100,9456.1,59,--,"2025/01/16",-1029
